cluster_id,profile_file,row_in_file,radius_deg,radius_arcsec,pm_disp_p02_masyr,pm_disp_p16_masyr,pm_disp_p50_masyr,pm_disp_p84_masyr,pm_disp_p98_masyr,pm_rot_p02_masyr,pm_rot_p16_masyr,pm_rot_p50_masyr,pm_rot_p84_masyr,pm_rot_p98_masyr,pm_rot_aux_masyr
NGC0104,profiles/NGC_104_47Tuc.txt,91,0.6,2160.0,0.163932,0.168128,0.17258,0.177815,0.182078,-0.0836039,-0.0691797,-0.0550193,-0.0408731,-0.0261022,-0.100366
NGC0104,profiles/NGC_104_47Tuc.txt,92,0.606667,2184.0012,0.163471,0.167737,0.172303,0.177616,0.181982,-0.0828734,-0.068278,-0.0538955,-0.0394674,-0.0243095,-0.0993511
NGC0104,profiles/NGC_104_47Tuc.txt,93,0.613333,2207.9988,0.163067,0.167412,0.172088,0.177473,0.181921,-0.0824105,-0.0675509,-0.0529714,-0.0382473,-0.0227856,-0.0983555
NGC0104,profiles/NGC_104_47Tuc.txt,94,0.62,2232.0,0.162745,0.16712,0.171884,0.177372,0.181873,-0.0819671,-0.0667775,-0.0521096,-0.037188,-0.0215497,-0.0973787
NGC0104,profiles/NGC_104_47Tuc.txt,95,0.626667,2256.0012,0.162489,0.166873,0.171698,0.177275,0.181837,-0.0815244,-0.0661113,-0.0513671,-0.0363584,-0.020543,-0.0964202
NGC0104,profiles/NGC_104_47Tuc.txt,96,0.633333,2279.9988000000003,0.162274,0.16671,0.171547,0.177212,0.1818,-0.0811634,-0.0656083,-0.0507665,-0.0355631,-0.0196279,-0.0954797
NGC0104,profiles/NGC_104_47Tuc.txt,97,0.64,2304.0,0.162114,0.166551,0.171439,0.177185,0.181769,-0.0808921,-0.065197,-0.0502768,-0.0350128,-0.0189736,-0.0945565
NGC0104,profiles/NGC_104_47Tuc.txt,98,0.646667,2328.0012,0.161997,0.166447,0.171374,0.177158,0.181746,-0.0807487,-0.0649498,-0.049993,-0.0346253,-0.0185252,-0.0936504
NGC0104,profiles/NGC_104_47Tuc.txt,99,0.653333,2351.9988000000003,0.161933,0.166389,0.171341,0.177129,0.181737,-0.0806618,-0.0648353,-0.0498137,-0.0343973,-0.0182907,-0.0927607
NGC0104,profiles/NGC_104_47Tuc.txt,100,0.66,2376.0,0.161923,0.166381,0.171336,0.177125,0.181737,-0.0806489,-0.0648159,-0.049787,-0.0343638,-0.0182558,-0.0918872
NGC0104,profiles/NGC_104_47Tuc.txt,101,0.666667,2400.0012,0.161923,0.166381,0.171336,0.177125,0.181737,-0.0806489,-0.0648159,-0.049787,-0.0343638,-0.0182558,-0.0910293
NGC0288,profiles/NGC_288.txt,1,0.0,0.0,0.0579812,0.0630553,0.0702167,0.0786542,0.088878,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
NGC0288,profiles/NGC_288.txt,2,0.0025,9.0,0.0577825,0.0628738,0.0697345,0.0775707,0.0865528,-0.00105342,-0.000169508,0.000715106,0.00159231,0.00242414,0.00171222
NGC0288,profiles/NGC_288.txt,3,0.005,18.0,0.0577044,0.0626369,0.0691649,0.0765001,0.0845891,-0.00208565,-0.000329169,0.00143063,0.00316826,0.00482203,0.00337749
NGC0288,profiles/NGC_288.txt,4,0.0075,27.0,0.0575953,0.0623337,0.068454,0.0755028,0.0824932,-0.00306837,-0.00046879,0.00213184,0.0046974,0.00715448,0.00495304
NGC0288,profiles/NGC_288.txt,5,0.01,36.0,0.0573992,0.0619577,0.0676283,0.074648,0.0808072,-0.00397308,-0.000576094,0.00282264,0.00617628,0.00940325,0.00640374
NGC0288,profiles/NGC_288.txt,6,0.0125,45.0,0.0571439,0.0616522,0.0669005,0.0738266,0.0795831,-0.00478947,-0.000639673,0.00349491,0.00758507,0.0115147,0.00770422
NGC0288,profiles/NGC_288.txt,7,0.015,54.0,0.0568892,0.0611573,0.0661902,0.0730296,0.0782495,-0.00547661,-0.000640917,0.00416497,0.00891798,0.013499,0.00883955
NGC0288,profiles/NGC_288.txt,8,0.0175,63.00000000000001,0.0567536,0.0606132,0.0654288,0.0719611,0.0772672,-0.00601222,-0.00058524,0.00477065,0.0101399,0.0152593,0.00980455
NGC0288,profiles/NGC_288.txt,9,0.02,72.0,0.0564434,0.0600035,0.0648301,0.0711086,0.0765693,-0.00636781,-0.000447176,0.00539848,0.0113065,0.0169035,0.0106023
NGC0288,profiles/NGC_288.txt,10,0.0225,81.0,0.0559135,0.0592934,0.0641877,0.0701736,0.0756651,-0.00667463,-0.000287395,0.00593419,0.0123459,0.0183348,0.011242
NGC0288,profiles/NGC_288.txt,11,0.025,90.0,0.0554411,0.058627,0.0635381,0.0693074,0.0746612,-0.00666759,-2.50518e-05,0.00650532,0.0131567,0.0195492,0.0117372
NGC0288,profiles/NGC_288.txt,12,0.0275,99.0,0.0548867,0.0579613,0.0627345,0.0684098,0.0735596,-0.00640841,0.00035162,0.00703496,0.0138079,0.0204613,0.0121035
NGC0288,profiles/NGC_288.txt,13,0.03,108.0,0.0542878,0.0573745,0.0619789,0.0674482,0.0724299,-0.00604903,0.000870171,0.00748604,0.0142985,0.0210002,0.0123573
NGC0288,profiles/NGC_288.txt,14,0.0325,117.0,0.0536771,0.0568008,0.061127,0.0663842,0.0710438,-0.00539348,0.00141484,0.00800617,0.0146654,0.0214122,0.012515
NGC0288,profiles/NGC_288.txt,15,0.035,126.0,0.0530308,0.0561315,0.0602383,0.0651452,0.069377,-0.00480938,0.00203428,0.00837227,0.0149909,0.0215149,0.0125919
NGC0288,profiles/NGC_288.txt,16,0.0375,135.0,0.0523113,0.0554768,0.0592335,0.0636949,0.0678895,-0.00395219,0.00254528,0.00872698,0.0151387,0.0213954,0.0126016
NGC0288,profiles/NGC_288.txt,17,0.04,144.0,0.0517919,0.0547427,0.0581496,0.0621725,0.0666394,-0.00327867,0.00300745,0.0091345,0.015234,0.021347,0.0125566
NGC0288,profiles/NGC_288.txt,18,0.0425,153.0,0.0510945,0.0539062,0.0571209,0.0607151,0.0655521,-0.00266073,0.00332596,0.00956143,0.0153846,0.0218292,0.0124675
NGC0288,profiles/NGC_288.txt,19,0.045,162.0,0.0501749,0.0528458,0.0560628,0.0596395,0.0641595,-0.00217965,0.00363632,0.00982462,0.0157199,0.0222646,0.0123433
NGC0288,profiles/NGC_288.txt,20,0.0475,171.0,0.0492192,0.0517279,0.0549792,0.0585511,0.0631865,-0.00180477,0.00389001,0.010145,0.01622,0.022666,0.0121918
NGC0288,profiles/NGC_288.txt,21,0.05,180.0,0.0481663,0.0506578,0.054035,0.0575441,0.0622623,-0.00180913,0.00422876,0.010544,0.0168231,0.0231647,0.0120194
NGC0288,profiles/NGC_288.txt,22,0.0525,189.0,0.0468421,0.0496143,0.0531661,0.0568657,0.0616099,-0.00231383,0.0044874,0.0109461,0.0173624,0.0239171,0.0118313
